#
# This is a data file - for cs668 lab#2
#
# By Jim Jia
#
3 3
u_knots[6] =
   0.000000   0.000000   0.000000   1.000000   1.000000  1.000000
v_knots[7] =
   0.000000   0.000000   0.000000   1.000000   2.000000  2.000000
  2.000000
#control points
points[3][4] =
   -0.800000  -0.500000  0.200000
   -0.800000  0.000000  0.000000
   -0.800000  0.500000  0.200000

   -0.400000  -0.500000  0.000000
   -1.200000  0.000000  1.800000 3.000000
   -0.400000  0.500000  0.000000

   0.400000  -0.500000  0.000000
   1.200000  0.000000  1.800000 3.000000
   0.400000  0.500000  0.000000

   0.800000  -0.500000  0.200000
   0.800000  0.000000  0.000000
   0.800000  0.500000  0.200000

